zone,state,eaid,lga,urca_cat,entid,q102,q103,q201,q201__1,q201__2,q201__3,q201__4,q201__5,q201__6,q201__7,q201__8,q201__9,q201__10,q201__11,q201__12,q201__13,q201__14,q201__15,q201__16,q201__17,q201__18,q201__19,q201__20,q201__21,q201__22,q201__23,q201__24,q201__25,q201__96,q201_1,q202,q202__1,q202__2,q202__3,q202__4,q202__5,q202__6,q202__7,q202__8,q203,q204_1,q204_2,q205_1,q205_2,q206,q207,q207__1,q207__2,q207__3,q207__4,q207__5,q207__6,q207__7,q207__8,q207__9,q207__10,q207__11,q207__12,q207__13,q208,q208__1,q208__2,q208__3,q208__4,q208__5,q208__6,q208__7,q208__8,q208__9,q208__10,q208__11,q208__12,q208__13,q209_1,q209_2,q209_3,q210,q211,q212,q213_1,q213_2,q213_3,q213_4,q213_5,q213_5_1,q213_6,q213_6_1,q214,q214_1,q215,q215_1,q215_1__1,q215_1__2,q215_1__96,q216,q216__1,q216__2,q216__3,q216__4,q216__5,q216__6,q216__7,q216__8,q216__9,q216__10,q216__11,q216__12,q216__13,q216__96,q217,q217_1,q217_2,q301,q301__1,q301__2,q301__3,q301__4,q301__5,q301__6,q301__7,q301__8,q301__9,q301__10,q301__11,q301__12,q301__13,q301__14,q301__0,q301__96,q302,q303,q304_1,q304_2,q304_3,q304_4,q304_5,q304_6,q304_7,q304_8,q304_9,q304_10,q304_10__1,q304_10__2,q304_10__3,q304_10__4,q304_10__5,q304_10__6,q304_10__7,q304_10__0,q304_10__96,q305_1,q305_2,q305_3,q305_4,q305_5,q305_6,q305_7,q306_1,q306_2,q306_2__1,q306_2__2,q306_2__3,q306_2__4,q306_2__5,q306_2__6,q306_2__7,q306_2__8,q306_2__9,q306_2__10,q306_2__11,q306_2__12,q306_2__13,q306_3,q306_4,q306_5,q306_6,q306_7,q306_8,q306_9,q306_10,q306_11,q306_12,q307_1,q307_2,q307_2__1,q307_2__2,q307_2__3,q307_2__4,q307_2__5,q307_2__6,q307_2__7,q307_2__8,q307_2__9,q307_2__10,q307_2__11,q307_2__12,q307_2__13,q307_3,q307_4,q307_5,q307_6,q307_7,q307_8,q307_9,q307_10,q307_11,q307_12,q308,q309,q401,q401__1,q401__2,q401__3,q401__4,q401__5,q401__6,q403,q403__1,q403__2,q403__3,q403__4,q403__5,q403__6,q403__7,q403__8,q403__9,q403__10,q403__11,q403__0,q403__96,q403_1,q404,q406,q406_1,q406_1__1,q406_1__2,q406_1__3,q406_1__4,q406_1__5,q406_1__6,q406_1__7,q406_1__8,q406_1__9,q406_1__10,q406_1__11,q406_1__12,q406_1__13,q406_1__96,q406_2,q407,q501,q501__1,q501__2,q501__3,q501__4,q501__5,q501__96,q501_1,q601_1,q601_2,q601_3,q601_4,q602,q603,q604_1,q604_2,q604_3,q604_4,att_opt_a1_1,att_opt_a2_1,att_opt_a3_1,att_opt_a4_1,att_opt_a5_1,att_opt_a6_1,att_opt_b1_1,att_opt_b2_1,att_opt_b3_1,att_opt_b4_1,att_opt_b5_1,att_opt_b6_1,att_opt_a1_2,att_opt_a2_2,att_opt_a3_2,att_opt_a4_2,att_opt_a5_2,att_opt_a6_2,att_opt_b1_2,att_opt_b2_2,att_opt_b3_2,att_opt_b4_2,att_opt_b5_2,att_opt_b6_2,q605_1,q606_1,q605_2,q606_2,wtp_bid1,wtp_supply,wtp_apps,q607,wtp_bid2,q608,wtp_bid3,q609,q610,comment,validated,natweight
North West,Kaduna,KD_82,jaba,<1hr to small city/town+,2f271c0d-8429-4cc3-8cc4-67a95825ec54,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2000-02-01,07:00:00.000+01:00,23:00:00.000+01:00,4,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,150000,0,20000,0,35,5,14,5,NA,96,Gora,0,NA,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,6,7,18,0,0,3000,5000,2000,3,1,1,2000,1 2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,2,2,3,2,2,2,2,3,3,33000,any appliances,a solar home system,a group of local townspeople,9,3,33000,any appliances,a solar home system,a private power company,12,6,33000,lighting and phone charging,the grid,a group of local townspeople,12,6,66000,lighting and phone charging and fan and tv,the grid,a private power company,b,1,a,1,100000,off-grid supply,that can power all appliances,0,66000,0,33000,0,2000,Okay,yes,0.0695659107369484
North Central,Kogi,KO_165,lokoja,Town,b8a07882-a436-472f-9f58-057adf273c72,1,NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Cafe,1 2 3 4 5 6 7 8,1,1,1,1,1,1,1,1,2020-02-01,07:30:00.000+01:00,20:00:00.000+01:00,16,14,6,2 3 1,1,1,1,0,0,0,0,0,0,0,0,0,0,4 5 6 7 8 9 10 11 12,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,300000,2,20000,0,28,4,21,96,Oworo,1,NA,1,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,4,75000,10000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,8 3 4 5 6 7 9,0,0,1,1,1,1,1,1,1,0,0,0,0,12,7,12,0,0,99,99,1000,3,3,0,NA,1 5 6 3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,1,98,98,98,1,3,2,2,1,4,3,9,100000,lighting and phone charging and fan and tv,a solar home system,a private power company,12,12,33000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,9,12,3000,any appliances,a solar home system,a private power company,3,9,66000,lighting and phone charging and fan and tv,a solar home system,a private power company,b,3,a,3,9000,grid supply,NA,0,6000,0,3000,1,3000,Working and responding perfectly,yes,0.0261256220971568
North Central,Kogi,KO_151,okehi,<1hr to int. city,9ccfecb1-b01c-4e98-8710-491c13e37c71,1,NA,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2017-02-01,08:00:00.000+01:00,18:00:00.000+01:00,7,5,5,4 6,0,0,0,1,0,1,0,0,0,0,0,0,0,1 2 3 5 8 9 10 11 12 7,1,1,1,0,1,0,1,1,1,1,1,1,0,0,0,2,600000,3,65000,0,40,10,20,13,NA,1,NA,1,1,1,2,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,2,60000,15000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,8 7 9 10,0,0,0,0,0,0,1,1,1,1,0,0,0,20,0,4,0,0,4000,60000,10000,3,2,1,2200,1 3 4 6,1,0,1,1,0,1,7 4,0,0,0,1,0,0,1,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,0,0,0,0,NA,4,2,2,4,1,6,4,3,2,3,6,9,66000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,9,3,3000,any appliances,a solar microgrid,a private power company,3,6,100000,lighting and phone charging,the grid,a private power company,6,3,33000,lighting and phone charging and fan and tv,the grid,a private power company,b,3,b,3,9000,off-grid supply,NA,1,33000,0,9000,NA,10000,NA,yes,0.0802062472175895
North West,Kaduna,KD_87,kajuru,<1hr to large city,79f7497c-913e-4238-97b1-7afca3b35451,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2019-02-01,08:00:00.000+01:00,18:00:00.000+01:00,3,4,6,6 7 8,0,0,0,0,0,1,1,1,0,0,0,0,0,11 12,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,85000,0,10000,1,26,3,14,5,NA,9,NA,1,1,0,NA,NA,NA,NA,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,3,6,24,0,0,5000,10000,1500,2,2,0,NA,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,3,2,6,1,4,2,2,3,6,66000,lighting and phone charging,a solar home system,a private power company,3,3,3000,lighting and phone charging and fan and tv,the grid,the state electricity company,6,12,100000,any appliances,a diesel generator,the state electricity company,3,9,3000,any appliances,a solar microgrid,a private power company,b,1,b,1,3000,grid supply,NA,0,3000,NA,3000,NA,2000,NA,yes,0.109779068299457
North Central,Kogi,KO_165,lokoja,Town,3ba5622c-b435-4f35-b330-ecaec6519a9c,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1 2 3 4 5 6,1,1,1,1,1,1,0,0,2020-02-01,08:00:00.000+01:00,18:00:00.000+01:00,16,12,6,1 2 5 8 9 10,1,1,0,0,1,0,0,1,1,1,0,0,0,12 11 3 4 6 7,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,100000,0,10000,1,32,3,21,8,NA,1,NA,1,1,1,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,14,7,10,0,0,99,99,1000,3,3,0,NA,1 3 6,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,3,2,1,4,2,2,2,3,9,3,3000,any appliances,a diesel generator,a group of local townspeople,6,12,3000,lighting and phone charging,the grid,a group of local townspeople,6,6,3000,lighting and phone charging,a solar microgrid,a private power company,6,12,3000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,a,3,b,3,66000,grid supply,NA,0,33000,0,9000,1,10000,NA,yes,0.0261256220971568
North Central,Kogi,KO_165,lokoja,Town,8ee9829c-fa60-4032-9726-8b9dcc0c1339,1,NA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Provision store,8,0,0,0,0,0,0,0,1,2015-02-01,07:00:00.000+01:00,23:00:00.000+01:00,20,10,6,8 9 7,0,0,0,0,0,0,1,1,1,0,0,0,0,1 2 3 4 5 6 10 11 12,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,60000,1,20000,1,35,3,14,7,NA,1,NA,1,1,1,1,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,35000,10000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,19,0,0,99,2000,1000,4,3,0,NA,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,3,1,4,2,2,2,3,12,9,66000,lighting and phone charging and fan and tv,the grid,the state electricity company,12,9,3000,lighting and phone charging,a solar home system,a group of local townspeople,3,12,66000,lighting and phone charging,a solar microgrid,the state electricity company,6,3,33000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,b,3,b,2,33000,grid supply,NA,0,9000,0,6000,0,2500,Need more of national power grid,yes,0.0261256220971568
North West,Kaduna,KD_82,jaba,<1hr to small city/town+,bc826199-4d5d-4e44-bdf0-09b81cc3bdf1,1,NA,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Provision and Make Noddles,8,0,0,0,0,0,0,0,1,2002-02-01,07:00:00.000+01:00,22:00:00.000+01:00,5,4,6,7 8 9,0,0,0,0,0,0,1,1,1,0,0,0,0,12 1 2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6000,0,20000,0,35,10,14,96,Nduya,96,Nduya,0,NA,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,5,7,19,0,0,5000,2000,3000,1,1,1,1400,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,0,0,1,0,NA,4,3,1,2,3,3,1,1,1,1,6,6,66000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,12,6,66000,any appliances,a diesel generator,a group of local townspeople,12,9,3000,lighting and phone charging and fan and tv,a solar home system,a group of local townspeople,12,6,33000,lighting and phone charging,a solar home system,a group of local townspeople,b,1,a,2,33000,off-grid supply,that can power all appliances,0,9000,0,6000,0,2000,Normally close shop during the and goes to farm.,yes,0.0695659107369484
South South,Rivers,RI_211,obio/akpor,<1hr to large city,f1183717-2ddd-42a6-a110-98144b68ad65,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2018-02-01,08:00:00.000+01:00,19:30:00.000+01:00,12,12,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,100000,0,10000,1,40,22,14,5,NA,1,NA,0,NA,1,2,0,1,0,6 3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,1 5 6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,13,0,0,0,0,0,0,0,0,0,0,0,0,1,6,7,18,0,0,2000,4000,1750,1,1,0,NA,1 6,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,5,0,0,0,0,1,0,NA,3,1,3,4,1,6,3,1,3,1,9,9,33000,lighting and phone charging,the grid,a private power company,3,12,33000,any appliances,a diesel generator,a private power company,9,9,33000,lighting and phone charging,the grid,a group of local townspeople,3,12,66000,any appliances,the grid,the state electricity company,b,3,b,3,3000,grid supply,NA,1,6000,0,3000,NA,3000,NA,yes,0.269222253968465
South South,Rivers,RI_211,obio/akpor,<1hr to large city,97ac9227-cb82-4664-9ad7-a2e568f745d0,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,6 5 4 3 2 1,1,1,1,1,1,1,0,0,2006-02-01,07:00:00.000+01:00,18:00:00.000+01:00,12,12,6,8 6 7,0,0,0,0,0,1,1,1,0,0,0,0,0,12 4 6 3,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,400000,6,50000,1,30,10,18,5,NA,5,NA,0,NA,1,2,0,1,0,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,35000,20000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,4,7,20,0,0,12000,10000,1500,1,1,0,NA,1 2 6,1,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,1,6,4,1,1,2,9,6,33000,lighting and phone charging and fan and tv,a diesel generator,a group of local townspeople,12,12,33000,lighting and phone charging,a diesel generator,a group of local townspeople,6,9,100000,lighting and phone charging,a diesel generator,a private power company,9,3,3000,lighting and phone charging and fan and tv,a solar home system,the state electricity company,a,3,b,3,66000,grid supply,NA,0,33000,0,9000,1,15000,NA,yes,0.269222253968465
North Central,Kogi,KO_165,lokoja,Town,c1c0a545-c5ce-4b20-9167-b7a3ef3c5940,1,NA,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2020-02-01,07:30:00.000+01:00,21:00:00.000+01:00,12,11,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100000,0,25000,0,30,2,14,8,NA,1,NA,1,1,1,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,1,1,35000,10000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,21,0,0,99,99,1000,3,3,0,NA,1 6 3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,2,2,1,2,2,4,2,2,2,3,9,6,100000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,6,12,33000,lighting and phone charging and fan and tv,a diesel generator,a private power company,12,12,100000,lighting and phone charging and fan and tv,the grid,the state electricity company,6,9,66000,lighting and phone charging,a solar microgrid,a private power company,a,2,a,2,66000,off-grid supply,that can power all appliances,0,33000,0,9000,0,3000,Waited for him to attend to his customer,yes,0.0261256220971568
North Central,Kogi,KO_165,lokoja,Town,a68a9507-bba7-458f-ab0e-b1826d28d67b,1,NA,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,2015-02-01,07:30:00.000+01:00,19:00:00.000+01:00,20,10,6,1 2 5 8 9 10,1,1,0,0,1,0,0,1,1,1,0,0,0,12 7 6 4 3 11,0,0,1,1,0,1,1,0,0,0,1,1,0,0,0,0,600000,6,55000,0,32,11,21,6,NA,1,NA,1,1,0,NA,NA,NA,NA,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,1 5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,4,67000,13000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,13,0,0,0,0,0,0,0,0,0,0,0,0,1,14,7,10,0,1,99,99,3000,2,4,0,NA,1 3 6,1,0,1,0,0,1,11,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,1,2,3,1,6,1,3,3,2,3,3,3000,lighting and phone charging and fan and tv,a solar microgrid,the state electricity company,6,3,33000,lighting and phone charging and fan and tv,a solar home system,the state electricity company,12,12,3000,lighting and phone charging and fan and tv,a solar microgrid,a group of local townspeople,12,6,66000,lighting and phone charging,a solar home system,a group of local townspeople,b,3,a,1,100000,grid supply,that can power all appliances,0,66000,0,33000,0,20000,He only have apprentices and his not paying them salary.,yes,0.0261256220971568
North West,Kaduna,KD_82,jaba,<1hr to small city/town+,d798dd26-bebe-447c-8a62-3810047c162f,1,NA,10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Provision  store,8,0,0,0,0,0,0,0,1,2021-02-01,08:00:00.000+01:00,22:00:00.000+01:00,5,4,6,7 8,0,0,0,0,0,0,1,1,0,0,0,0,0,12 11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,70000,0,28000,0,45,20,14,5,NA,5,NA,1,1,0,NA,NA,NA,NA,1 7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,13,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7,22,0,0,99,99,3000,1,2,0,NA,1 3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,3,2,3,1,1,1,1,12,6,33000,lighting and phone charging and fan and tv,a diesel generator,the state electricity company,12,3,66000,any appliances,a solar home system,a private power company,3,3,33000,lighting and phone charging,the grid,the state electricity company,9,6,66000,any appliances,a solar home system,a group of local townspeople,a,1,a,1,6000,off-grid supply,NA,0,3000,0,3000,0,2000,He inherited  the shop from his in law so answers he didn't  know.,yes,0.0695659107369484
North West,Kaduna,KD_82,jaba,<1hr to small city/town+,b0ab6f4a-3c0a-49a0-a1e4-3b53119a5064,1,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,8,0,0,0,0,0,0,0,1,1996-02-01,06:00:00.000+01:00,21:00:00.000+01:00,4,3,6,13,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,100000,0,10000,1,40,25,14,5,NA,96,Gora,0,NA,0,NA,NA,NA,NA,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,1 12 96,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,6,6,22,0,0,1000,2000,1000,3,1,1,500,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,2,3,2,3,2,2,12,12,33000,lighting and phone charging and fan and tv,a solar home system,the state electricity company,12,12,66000,lighting and phone charging and fan and tv,the grid,a private power company,3,6,3000,lighting and phone charging and fan and tv,the grid,a group of local townspeople,6,6,3000,lighting and phone charging and fan and tv,a diesel generator,the state electricity company,a,1,a,3,66000,grid supply,that can power all appliances,0,33000,0,9000,0,3000,Okay,yes,0.0695659107369484
